Year,Month,Day,Sea_Level
1979,11,1,2.554
1979,11,2,2.63
1979,11,3,2.792
1979,11,4,2.728
1979,11,5,2.749
1979,11,6,2.801
1979,11,7,2.746
1979,11,8,2.752
1979,11,9,2.664
1979,11,10,2.524
1979,11,11,2.399
1979,11,12,2.371
1979,11,13,2.393
1979,11,14,2.487
1979,11,15,2.527
1979,11,16,2.569
1979,11,17,2.643
1979,11,18,2.597
1979,11,19,2.566
1979,11,20,2.579
1979,11,21,2.542
1979,11,22,2.64
1979,11,23,2.551
1979,11,24,2.557
1979,11,25,2.527
1979,11,26,2.481
1979,11,27,2.411
1979,11,28,2.432
1979,11,29,2.518
1979,11,30,2.609
1979,12,1,2.67
1979,12,2,2.768
1979,12,3,2.307
1979,12,31,2.673
1980,1,1,2.911
1980,1,2,2.893
1980,1,3,2.835
1980,1,4,2.774
1980,1,5,2.707
1980,1,6,2.685
1980,1,7,2.597
1980,1,8,2.576
1980,1,9,2.655
1980,1,10,2.725
1980,1,11,2.74
1980,1,12,3.005
1980,1,13,2.987
1980,1,14,3.091
1980,1,15,3.069
1980,1,16,3.289
1980,1,17,3.295
1980,1,18,3.237
1980,1,19,3.164
1980,1,20,2.999
1980,1,21,2.947
1980,1,22,2.88
1980,1,23,2.777
1980,1,24,2.786
1980,1,25,2.841
1980,1,26,2.88
1980,1,27,2.92
1980,1,28,2.969
1980,1,29,2.954
1980,1,30,2.868
1980,1,31,2.847
1980,2,1,2.807
1980,2,2,2.746
1980,2,3,2.646
1980,2,4,2.548
1980,2,5,2.542
1980,2,6,2.493
1980,2,7,2.414
1980,2,8,2.469
1980,2,9,2.448
1980,2,10,2.533
1980,2,11,2.701
1980,2,12,2.807
1980,2,13,2.938
1980,2,14,3.048
1980,2,15,3.124
1980,2,16,3.17
1980,2,17,3.17
1980,2,18,3.213
1980,2,19,3.182
1980,2,20,3.149
1980,2,21,3.301
1980,2,22,3.136
1980,2,23,3.075
1980,2,24,2.981
1980,2,25,2.96
1980,2,26,2.966
1980,2,27,3.057
1980,2,28,3.024
1980,2,29,2.954
1980,3,1,2.932
1980,3,2,2.963
1980,3,3,2.944
1980,3,4,2.844
1980,3,5,2.914
1980,3,6,2.85
1980,3,7,2.978
1980,3,8,2.691
1980,3,9,2.679
1980,3,10,2.682
