Year,Month,Day,Sea_Level
1967,12,31,2.58
1968,1,1,2.94
1968,1,2,2.6
1968,1,3,2.65
1968,1,4,2.33
1968,1,5,2.48
1968,1,6,2.3
1968,1,7,2.38
1968,1,8,2.39
1968,1,9,2.24
1968,1,10,2.28
1968,1,11,2.27
1968,1,12,2.34
1968,1,13,2.56
1968,1,14,2.65
1968,1,15,2.69
1968,1,16,2.6
1968,1,17,2.67
1968,1,18,2.62
1968,1,19,2.56
1968,1,20,2.47
1968,1,21,2.51
1968,1,22,2.45
1968,1,23,2.4
1968,1,24,2.42
1968,1,25,2.34
1968,1,26,2.38
1968,1,27,2.41
1968,1,28,2.5
1968,1,29,2.59
1968,1,30,2.7
1968,1,31,2.75
1968,2,1,2.73
1968,2,2,2.5
1968,2,3,2.42
1968,2,4,2.4
1968,2,5,2.37
1968,2,6,2.35
1968,2,7,2.32
1968,2,8,2.27
1968,2,9,2.2
1968,2,10,2.31
1968,2,11,2.33
1968,2,12,2.4
1968,2,13,2.48
1968,2,14,2.55
1968,2,15,2.62
1968,2,16,2.7
1968,2,17,2.61
1968,2,18,2.5
1968,2,19,2.57
1968,2,20,2.53
1968,2,21,2.44
1968,2,22,2.36
1968,2,23,2.2
1968,2,24,2.3
1968,2,25,2.37
1968,2,26,2.35
1968,2,27,2.42
1968,2,28,2.43
1968,2,29,2.56
1968,3,1,2.52
1968,3,2,2.41
1968,3,3,2.33
1968,3,4,2.23
1968,3,5,2.3
1968,3,6,2.18
1968,3,7,2.25
1968,3,8,2.24
1968,3,9,2.05
1968,3,10,2.12
1968,3,11,2.34
1968,3,12,2.36
1968,3,13,2.48
1968,3,14,2.52
1968,3,15,2.6
1968,3,16,2.83
1968,3,17,2.55
1968,3,18,2.47
1968,3,19,2.4
1968,3,20,2.36
1968,3,21,2.32
1968,3,22,2.23
1968,3,23,2.17
1968,3,24,2.24
1968,3,25,2.29
1968,3,26,2.39
1968,3,27,2.37
1968,3,28,2.44
1968,3,29,2.42
1968,3,30,2.52
1968,3,31,2.35
1968,4,1,2.35
1968,4,2,2.26
1968,4,3,2.26
1968,4,4,2.1
1968,4,5,2.12
1968,4,6,2.1
1968,4,7,1.98
1968,4,8,2.14
1968,4,9,2.33
1968,4,10,2.45
1968,4,11,2.5
1968,4,12,2.58
1968,4,13,2.5
1968,4,14,2.47
1968,4,15,2.4
1968,4,16,2.32
1968,4,17,2.25
1968,4,18,2.24
1968,4,19,2.17
1968,4,20,2.1
1968,4,21,2.12
1968,4,22,2.19
1968,4,23,2.2
1968,4,24,2.27
1968,4,25,2.34
1968,4,26,2.4
1968,4,27,2.43
1968,4,28,2.4
1968,4,29,2.51
1968,4,30,2.32
1968,5,1,2.2
1968,5,2,2.18
1968,5,3,2.28
1968,5,4,2.18
1968,5,5,2.04
1968,5,6,2.02
1968,5,7,2.17
1968,5,8,2.15
1968,5,9,2.3
1968,5,10,2.39
1968,5,11,2.4
1968,5,12,2.57
1968,5,13,2.68
1968,5,14,2.61
1968,5,15,2.43
1968,5,16,2.42
1968,5,17,2.25
1968,5,18,2.23
1968,5,19,2.14
1968,5,20,2.12
1968,5,21,2.16
1968,5,22,2.28
1968,5,23,2.27
1968,5,24,2.32
1968,5,25,2.39
1968,5,26,2.41
1968,5,27,2.47
1968,5,28,2.45
1968,5,29,2.42
1968,5,30,2.4
1968,5,31,2.24
1968,6,1,2.15
1968,6,2,2.15
1968,6,3,2.17
1968,6,4,2.14
1968,6,5,2.21
1968,6,6,2.3
1968,6,7,2.38
1968,6,8,2.42
1968,6,9,2.49
1968,6,10,2.65
1968,6,11,2.59
1968,6,12,2.53
1968,6,13,2.48
1968,6,14,2.36
1968,6,15,2.45
1968,6,16,2.35
1968,6,17,2.23
1968,6,18,2.22
1968,6,19,2.25
1968,6,20,2.24
1968,6,21,2.23
1968,6,22,2.25
1968,6,23,2.25
1968,6,24,2.29
1968,6,25,2.34
1968,6,26,2.4
1968,6,27,2.35
1968,6,28,2.38
1968,6,29,2.38
1968,6,30,2.37
1968,7,1,2.33
1968,7,2,2.42
1968,7,3,2.32
1968,7,4,2.32
1968,7,5,2.39
1968,7,6,2.49
1968,7,7,2.41
1968,7,8,2.49
1968,7,9,2.55
1968,7,10,2.57
1968,7,11,2.6
1968,7,12,2.55
1968,7,13,2.47
1968,7,14,2.43
1968,7,15,2.37
1968,7,16,2.39
1968,7,17,2.33
1968,7,18,2.3
1968,7,19,2.24
1968,7,20,2.21
1968,7,21,2.26
1968,7,22,2.34
1968,7,23,2.48
1968,7,24,2.57
1968,7,25,2.58
1968,7,26,2.63
1968,7,27,2.68
1968,7,28,2.68
1968,7,29,2.71
1968,7,30,2.65
1968,7,31,2.63
1968,8,1,2.54
1968,8,2,2.47
1968,8,3,2.37
1968,8,4,2.3
1968,8,5,2.43
1968,8,6,2.53
1968,8,7,2.57
1968,8,8,2.63
1968,8,9,2.62
1968,8,10,2.68
1968,8,11,2.7
1968,8,12,2.64
1968,8,13,2.67
1968,8,14,2.64
1968,8,15,2.62
1968,8,16,2.57
1968,8,17,2.48
1968,8,18,2.34
1968,8,19,2.37
1968,8,20,2.58
1968,8,21,2.74
1968,8,22,2.73
1968,8,23,2.84
1968,8,24,2.97
1968,8,25,2.96
1968,8,26,2.84
1968,8,27,2.82
1968,8,28,2.75
1968,8,29,2.95
1968,8,30,2.68
1968,8,31,2.54
1968,9,1,2.45
1968,9,2,2.35
1968,9,3,2.42
1968,9,4,2.43
1968,9,5,2.49
1968,9,6,2.63
1968,9,7,2.64
1968,9,8,2.62
1968,9,9,2.79
1968,9,10,2.7
1968,9,11,2.53
1968,9,12,2.43
1968,9,13,2.34
1968,9,14,2.26
1968,9,15,2.23
1968,9,16,2.17
1968,9,17,2.25
1968,9,18,2.37
1968,9,19,2.44
1968,9,20,2.58
1968,9,21,2.54
1968,9,22,2.78
1968,9,23,2.81
1968,9,24,2.72
1968,9,25,2.68
1968,9,26,2.62
1968,9,27,2.59
1968,9,28,2.48
1968,9,29,2.37
1968,9,30,2.22
1968,10,1,2.33
1968,10,2,2.34
1968,10,3,2.41
1968,10,4,2.46
1968,10,5,2.57
1968,10,6,2.61
1968,10,7,2.63
1968,10,8,2.61
1968,10,9,2.59
1968,10,10,2.59
1968,10,11,2.43
1968,10,12,2.4
1968,10,13,2.35
1968,10,14,2.27
1968,10,15,2.17
1968,10,16,2.25
1968,10,17,2.35
1968,10,18,2.5
1968,10,19,2.54
1968,10,20,2.63
1968,10,21,2.69
1968,10,22,2.67
1968,10,23,2.79
1968,10,24,2.84
1968,10,25,3.01
1968,10,26,2.78
1968,10,27,2.49
1968,10,28,2.33
1968,10,29,2.31
1968,10,30,2.28
1968,10,31,2.32
1968,11,1,2.39
1968,11,2,2.4
1968,11,3,2.49
1968,11,4,2.59
1968,11,5,2.64
1968,11,6,2.67
1968,11,7,2.57
1968,11,8,2.58
1968,11,9,2.64
1968,11,10,2.64
1968,11,11,2.33
1968,11,12,2.28
1968,11,13,2.23
1968,11,14,2.24
1968,11,15,2.23
1968,11,16,2.4
1968,11,17,2.46
1968,11,18,2.42
